Receptor Ligand  ProtLID_Score  rank  pct_rank
  1LFD.B 1LFD.A      57.773086   143  0.590244
  1LFD.B 1LXD.A      71.018521   104  0.458537
  4ZQK.B 4ZQK.A     334.215668     9  0.038961
  4ZQK.B 3BIK.A     253.965847    33  0.142857
  4ZQK.B 3BIS.A     260.792154    29  0.125541
  4ZQK.B 3FN3.A     184.523645    70  0.303030
  4ZQK.B 3SBW.C     307.732804    14  0.060606
  4ZQK.B 4Z18.A     266.650705    28  0.121212
  4ZQK.B 5C3T.A     538.085742     2  0.008658
  4ZQK.B 5GGT.A     295.718593    15  0.064935
  4ZQK.B 5GRJ.A     369.616551     6  0.025974
  4ZQK.B 5IUS.C     122.941904   133  0.575758
  4ZQK.B 5J89.A     281.306186    21  0.090909
  4ZQK.B 5J8O.A     278.375149    24  0.103896
  4ZQK.B 5JDR.A     333.024182    10  0.043290
  4ZQK.B 5JDS.A     216.751672    51  0.220779
  4ZQK.B 5N2D.A     137.737103   119  0.515152
  4ZQK.B 5N2F.A     369.954801     5  0.021645
  4ZQK.B 5NIU.A     318.987521    12  0.051948
  4ZQK.B 5NIX.A     178.420707    73  0.316017
  4ZQK.B 5O45.A     142.419453   116  0.502165
  4ZQK.B 5O4Y.B      93.682052   165  0.714286
  4ZQK.B 5X8L.A     198.885061    62  0.268398
  4ZQK.B 5X8M.A     170.105625    85  0.367965
  4ZQK.B 5XJ4.A     348.598877     7  0.030303
  4ZQK.B 5XXY.A      86.076069   175  0.757576
  4ZQK.B 3BP5.B     281.478445    20  0.086580
  4ZQK.B 3BOV.A     181.269883    72  0.311688
  4ZQK.B 3RNK.B     165.601923    88  0.380952
  4ZQK.B 6UMT.B     145.818545   112  0.484848
  3SGQ.E 3SGQ.I       7.389922   193  0.941463
  3SGQ.E 2OVO.A       6.936193   196  0.956098
  3BP5.B 3BP5.A     237.248091    94  0.456311
  3BP5.B 1NPU.A     263.739042    79  0.383495
  3BP5.B 3BIK.B     263.791895    78  0.378641
  1E96.A 1E96.B      37.817143   108  0.526829
  1E96.A 1HH8.A      40.814667    97  0.473171
  1FFW.B 1FFW.A       0.666950   181  0.882927
  1FFW.B 3CHY.A       2.290889    87  0.424390
  2PTT.A 2PTT.B     565.083609     1  0.004878
  2PTT.A 2PTU.A     158.824220    35  0.170732
  3UDW.A 3UDW.C     108.573693    77  0.364929
  3UDW.A 5V52.D     103.089082    83  0.393365
  3UDW.A 3R0N.A      92.815680    99  0.469194
  3UDW.A 4DFI.A     179.356471    21  0.099526
  3UDW.A 4DFH.A     210.184533    14  0.066351
  3UDW.A 4HZA.A      34.186938   186  0.881517
  3UDW.A 4FQP.A      84.063185   110  0.521327
  3SGQ.I 3SGQ.E       0.978434   159  0.775610
  3SGQ.I 2QA9.E       4.498265    58  0.282927
  1I85.D 1I85.B     215.567409    17  0.082927
  1I85.D 1NCN.A     143.479134    62  0.302439
  1E96.B 1E96.A       7.284505    67  0.326829
  1E96.B 1MH1.A      13.237324    30  0.146341
  1I8L.C 1I8L.A     388.416667     1  0.004854
  1I8L.C 1DR9.A     233.986954     3  0.014563
  3UDW.C 3UDW.A     100.697069   188  0.908213
  3UDW.C 3Q0H.A     159.004677   156  0.753623
  3UDW.C 3RQ3.A     136.067976   167  0.806763
  3UDW.C 3UCR.A     212.245193   122  0.589372
  1AK4.D 1AK4.A      15.287113   172  0.839024
  1AK4.D 2CPL.A      11.811059   181  0.882927
  2PTT.B 2PTT.A     276.177709    25  0.121951
  2PTT.B 2PTV.A     311.381428    19  0.092683
  3BP5.A 3BP5.B      47.074289    82  0.398058
  3BP5.A 3BOV.A      67.700517    37  0.179612
  3BP5.A 3RNK.B      63.585515    40  0.194175
  1S1Q.B 1S1Q.A       0.812649   172  0.839024
